"gemeinde","year","turnout","east_west","treated","area","land","CDU","SPD","AfD","AfD_change","SPD_change","CDU_change","Mainstream_change","turnout_change","baseline_CDU","baseline_SPD","CDU_change_base","SPD_change_base","AfD_diff_land","CDU_diff_land","SPD_diff_land","turnout_diff_land","CDU_land","SPD_land","AfD_land","turnout_land"
"Bergheim",2017,64,"West",1,"R","NW",33.4,32,9.5,NA,NA,NA,NA,NA,33.4,32,0,0,2.1,0.399999999999999,0.800000000000001,-1.2,33,31.2,7.4,65.2
"Bergheim",2022,52.6,"West",1,"R","NW",40.1,25.7,6.4,-3.1,-6.3,6.7,0.399999999999991,-11.4,33.4,32,6.7,-6.3,1,4.4,-1,-2.9,35.7,26.7,5.4,55.5
"Borna",2014,42,"East",0,NA,"SN",41.2,15.5,9.4,NA,NA,NA,NA,NA,41.2,15.5,0,0,-0.299999999999999,2.2,3.1,-7.2,39,12.4,9.7,49.2
"Borna",2019,56.2,"East",0,NA,"SN",33,10.8,30.9,21.5,-4.7,-8.2,-12.9,14.2,41.2,15.5,-8.2,-4.7,3.4,0.899999999999999,3.1,-10.3,32.1,7.7,27.5,66.5
"Borna",2024,66.5,"East",0,NA,"SN",32.5,8.7,34.1,3.2,-2.1,-0.5,-2.59999999999999,10.3,41.2,15.5,-8.7,-6.8,3.5,0.600000000000001,1.4,-7.90000000000001,31.9,7.3,30.6,74.4
"Boxberg",2014,60.5,"East",1,"L","SN",41.6,9.6,10.3,NA,NA,NA,NA,NA,41.6,9.6,0,0,0.600000000000001,2.6,-2.8,11.3,39,12.4,9.7,49.2
"Boxberg",2019,84.4,"East",1,"L","SN",37.3,8.8,33.3,23,-0.799999999999999,-4.3,-5.10000000000001,23.9,41.6,9.6,-4.3,-0.799999999999999,5.8,5.2,1.1,17.9,32.1,7.7,27.5,66.5
"Boxberg",2024,78.2,"East",1,"L","SN",32,3.3,41.3,8,-5.5,-5.3,-10.8,-6.2,41.6,9.6,-9.6,-6.3,10.7,0.100000000000001,-4,3.8,31.9,7.3,30.6,74.4
"Böhlen",2014,38.4,"East",1,"M","SN",36.3,15.9,7.8,NA,NA,NA,NA,NA,36.3,15.9,0,0,-1.9,-2.7,3.5,-10.8,39,12.4,9.7,49.2
"Böhlen",2019,58.1,"East",1,"M","SN",29.5,11.9,28.6,20.8,-4,-6.8,-10.8,19.7,36.3,15.9,-6.8,-4,1.1,-2.6,4.2,-8.4,32.1,7.7,27.5,66.5
"Böhlen",2024,69.6,"East",1,"M","SN",30.5,9.5,31.4,2.8,-2.4,1,-1.4,11.5,36.3,15.9,-5.8,-6.4,0.799999999999997,-1.4,2.2,-4.80000000000001,31.9,7.3,30.6,74.4
"Dessau-Roßlau",2016,63.3,"East",0,NA,"ST",28.7,10.2,22.2,NA,NA,NA,NA,NA,28.7,10.2,0,0,-2.1,-1.1,-0.700000000000001,2.2,29.8,10.9,24.3,61.1
"Dessau-Roßlau",2021,58.2,"East",0,NA,"ST",40.1,8,18.4,-3.8,-2.2,11.4,9.2,-5.09999999999999,28.7,10.2,11.4,-2.2,-2.4,3,-0.4,-2.09999999999999,37.1,8.4,20.8,60.3
"Düren",2017,56.7,"West",0,NA,"NW",33.4,32.6,8.9,NA,NA,NA,NA,NA,33.4,32.6,0,0,1.5,0.399999999999999,1.4,-8.5,33,31.2,7.4,65.2
"Düren",2022,45.5,"West",0,NA,"NW",38.1,27.3,7.6,-1.3,-5.3,4.7,-0.599999999999994,-11.2,33.4,32.6,4.7,-5.3,2.2,2.4,0.600000000000001,-10,35.7,26.7,5.4,55.5
"Eberswalde",2014,40.5,"East",0,NA,"BB",21.9,32.5,9.5,NA,NA,NA,NA,NA,21.9,32.5,0,0,-2.7,-1.1,0.600000000000001,-7.4,23,31.9,12.2,47.9
"Eberswalde",2019,49.3,"East",0,NA,"BB",12.8,26.2,23.4,13.9,-6.3,-9.1,-15.4,8.8,21.9,32.5,-9.1,-6.3,-0.100000000000001,-2.8,0,-12,15.6,26.2,23.5,61.3
"Eberswalde",2024,63.6,"East",0,NA,"BB",9.4,28.6,28.5,5.1,2.4,-3.4,-1,14.3,21.9,32.5,-12.5,-3.9,-0.699999999999999,-2.7,-2.3,-9.3,12.1,30.9,29.2,72.9
"Eisenhüttenstadt",2014,41.9,"East",0,NA,"BB",17.4,28.8,21.3,NA,NA,NA,NA,NA,17.4,28.8,0,0,9.1,-5.6,-3.1,-6,23,31.9,12.2,47.9
"Eisenhüttenstadt",2019,51.5,"East",0,NA,"BB",12.9,27.8,30,8.7,-1,-4.5,-5.5,9.6,17.4,28.8,-4.5,-1,6.5,-2.7,1.6,-9.8,15.6,26.2,23.5,61.3
"Eisenhüttenstadt",2024,64.9,"East",0,NA,"BB",8.5,29.8,36.5,6.5,2,-4.4,-2.40000000000001,13.4,17.4,28.8,-8.9,1,7.3,-3.6,-1.1,-8,12.1,30.9,29.2,72.9
"Elsdorf",2017,63,"West",1,"R","NW",34.6,32,10.3,NA,NA,NA,NA,NA,34.6,32,0,0,2.9,1.6,0.800000000000001,-2.2,33,31.2,7.4,65.2
"Elsdorf",2022,51.8,"West",1,"R","NW",42.2,26.1,8.6,-1.7,-5.9,7.6,1.70000000000002,-11.2,34.6,32,7.6,-5.9,3.2,6.5,-0.599999999999998,-3.7,35.7,26.7,5.4,55.5
"Elsterheide",2014,60.3,"East",1,"L","SN",53.7,9.1,9,NA,NA,NA,NA,NA,53.7,9.1,0,0,-0.699999999999999,14.7,-3.3,11.1,39,12.4,9.7,49.2
